<phenotype>								
taxa	data	data	data	data	data	data	data	data
Taxa	PH	EH	SHL	ASI	LAZY	KRN	KWT	albino
1902-2	190.56	123.89	11.85	0.33	0	10.44	3	0
1902-4	169.58	93.33	14.39	-1.25	0	12.17	3.68	0
1902-6	188.33	92.92	44.45	0.25	11.54	11.83	3.66	0
1902-7	192.92	101.67	21.59	-1	0	9.58	3	0
1902-8	245.42	131.66	16.51	-0.75	0	9.75	3	0
1902-11	197.92	114.17	16.51	-0.5	0	12.33	3.35	0
395-16	192.08	95.83	20.74	-0.5	0	9.17	3.91	0
1902-15	202.92	114.58	18.63	-1	0	12.5	3.23	0
1902-18	183.33	101.67	14.39	-0.75	0	11.33	3.29	0
1902-19	200	116.67	26.25	0.5	0	9.83	3.36	0
1903-1	171.67	87.5	13.97	-1.25	0	10.83	3.41	0
1903-2	187.08	118.33	15.66	0.67	0	8.5	2.87	0
1903-6	192.22	122.22	16.51	0	0	10	3.13	0
1903-7	227.78	141.11	15.66	-0.33	0	12	3.42	0
395-15	191.11	107.22	11.43	0.33	0	15	3.56	0
1903-11	167.92	71.25	19.9	-0.75	20	11.92	3.29	0
1903-12	189.58	95.42	27.09	-0.75	0	11.5	4.05	0
1903-15	180.83	85	32.6	-2.5	0	12.58	4.57	5.56
1903-16	208.33	112.5	20.32	-0.75	0	12.92	3.83	0
1903-20	182.5	84.17	12.28	-1	0	11.83	3.81	0
1904-2	183.75	99.59	24.55	-0.5	8.33	10.5	3.68	0
1904-11	172.92	78.75	24.55	-1.5	0	12.5	3.34	0
1904-13	235	137.33	15.66	-0.25	0	11.5	3.59	0
1904-16	225	134.17	13.55	-2	0	10.89	4.02	0
1904-20	197.5	107.92	13.55	-0.5	0	11.25	3.51	0
1904-22	173.75	100.83	15.66	-1	0	10.42	2.76	0
1905-2	203.75	107.08	26.67	-1	0	11.5	3.36	0
1905-6	204.58	126.67	11.01	-0.75	0	11.08	4.08	0
1905-8	183.33	100.42	13.97	-1.75	0	11.5	2.76	0
1905-13	200.83	114.17	14.82	-0.75	0	9.42	2.91	0
1905-15	203.75	121.67	16.93	-0.75	0	12.58	3.29	0
395-14	214.58	127.92	19.47	-0.75	0	12.83	4.21	0
1905-22	201.67	87.08	23.28	-0.25	0	15.5	3.97	0
1905-23	187.5	93.75	21.59	-1	0	11.08	3.77	0
1905-24	217.08	126.67	25.4	-0.25	0	12.67	3.44	0
1906-6	180.83	97.92	13.55	-0.5	0	15.17	3.9	0
1906-8	215.83	123.33	14.39	0	0	15.67	3.93	0
1906-10	192.92	101.25	16.09	0.25	0	12.33	3.77	0
1906-12	203.33	114.16	15.24	0.25	0	13.33	3.04	0
1906-15	220.42	110.83	16.09	-1	0	11.08	5.74	0
1906-20	223.75	133.33	21.17	-0.5	0	9.92	3.84	0
1906-22	203.33	114.16	13.12	-0.5	0	12.5	4.35	0
1907-1	163.75	83.33	24.55	-3	0	14.83	3.24	0
1907-2	175	95.83	19.47	-0.5	0	12.33	3.71	0
1907-4	200	121.11	12.7	-1.67	0	11.78	3.91	0
1907-6	199.17	115.42	11.85	-0.25	25.32	12.33	3.93	0
1907-8	212.22	127.78	26.67	2.67	0	7.78	2.95	0
1907-9	208.33	125	11.43	0.33	0	14.5	3.9	0
1907-14	213.33	124.67	23.71	0	0	13.67	3.44	0
1907-15	209.45	122.78	15.24	0.33	0	10.22	3.58	0
1908-1	194.44	102.22	22.01	-0.67	0	14.22	3.77	0
1908-2	217.5	131.25	12.28	-0.5	0	10.42	2.98	0
1908-4	232.22	150.56	17.78	-0.67	0	11.33	3.43	0
1908-6	193.89	127.78	16.93	-0.33	0	11.11	2.92	0
1908-8	215.83	126.67	21.17	-0.75	0	12.25	3.53	0
396-2	189.17	100	14.82	-1.25	0	13.5	3.42	0
1908-11	187.78	85.56	22.44	-1	0	13.33	3.55	0
396-1	160	88.75	20.74	-0.75	0	13	3.43	0
413-19	193.75	92.5	11.43	-0.75	0	14.17	3.74	0
1909-1	212.92	136.25	16.09	-0.5	0	11.67	3.8	0
1909-3	193.75	96.67	15.24	-0.75	0	12.33	4.49	0
